# frame_idx  step  zref
0 2436220 26.84440000
1 2436230 26.84850000
2 2436240 26.84430000
3 2436250 26.83100000
4 2436260 26.80760000
5 2436270 26.78700000
6 2436280 26.76890000
7 2436290 26.75200000
8 2436300 26.73840000
9 2436310 26.72750000
10 2436320 26.71800000
11 2436330 26.72550000
12 2436340 26.74470000
13 2436350 26.76220000
14 2436360 26.77710000
15 2436370 26.78950000
16 2436380 26.80020000
17 2436390 26.80990000
18 2436400 26.81780000
19 2436410 26.82300000
20 2436420 26.82380000
21 2436430 26.81780000
22 2436440 26.80230000
23 2436450 26.78830000
24 2436460 26.79660000
25 2436470 26.80000000
26 2436480 26.79850000
27 2436490 26.79160000
28 2436500 26.77820000
29 2436510 26.75730000
30 2436520 26.74980000
31 2436530 26.75070000
32 2436540 26.74710000
33 2436550 26.73950000
34 2436560 26.76520000
35 2436570 26.79620000
36 2436580 26.82180000
37 2436590 26.84340000
38 2436600 26.86310000
39 2436610 26.88270000
40 2436620 26.90040000
41 2436630 26.91280000
42 2436640 26.91490000
43 2436650 26.90130000
44 2436660 26.87140000
45 2436670 26.82830000
46 2436680 26.77790000
47 2436690 26.75740000
48 2436700 26.74190000
49 2436710 26.74420000
50 2436720 26.76350000
51 2436730 26.77440000
52 2436740 26.77770000
53 2436750 26.77440000
54 2436760 26.76910000
55 2436770 26.77520000
56 2436780 26.79830000
57 2436790 26.82330000
58 2436800 26.84850000
59 2436810 26.87050000
60 2436820 26.88680000
61 2436830 26.89570000
62 2436840 26.89690000
63 2436850 26.88910000
64 2436860 26.87320000
65 2436870 26.84930000
66 2436880 26.81960000
67 2436890 26.81750000
68 2436900 26.81640000
69 2436910 26.80310000
70 2436920 26.78070000
71 2436930 26.77400000
72 2436940 26.78270000
73 2436950 26.78340000
74 2436960 26.77740000
75 2436970 26.76950000
76 2436980 26.75410000
77 2436990 26.73110000
78 2437000 26.73060000
79 2437010 26.74820000
80 2437020 26.79130000
81 2437030 26.82840000
82 2437040 26.85550000
83 2437050 26.86970000
84 2437060 26.87010000
85 2437070 26.85840000
86 2437080 26.83940000
87 2437090 26.81800000
88 2437100 26.79860000
89 2437110 26.80930000
90 2437120 26.83690000
91 2437130 26.85920000
92 2437140 26.87430000
93 2437150 26.88040000
94 2437160 26.87630000
95 2437170 26.86220000
96 2437180 26.83970000
97 2437190 26.81280000
98 2437200 26.78530000
99 2437210 26.76020000
100 2437220 26.73780000
101 2437230 26.74660000
102 2437240 26.76030000
103 2437250 26.76790000
104 2437260 26.76890000
105 2437270 26.76310000
106 2437280 26.74960000
107 2437290 26.72810000
108 2437300 26.72660000
109 2437310 26.74000000
110 2437320 26.74710000
111 2437330 26.74870000
112 2437340 26.74560000
113 2437350 26.73910000
114 2437360 26.73040000
115 2437370 26.72980000
116 2437380 26.74940000
